RID	y_no(b=0.1856)	y_yes(b=-0.1726)	Support	Rule
(-1, 0)	-0.5624	0.4641	0.0366	poutcome_success
(-1, 5)	-0.5156	0.5432	0.2347	job_student | month_mar | month_oct | month_sep | poutcome_success | age > 61.604 | duration > 442.610
(-1, 8)	0.2897	-0.3279	0.6843	contact_unknown | month_aug | month_jan | month_jul | month_nov
(-1, 2)	0.3262	-0.3194	0.4697	housing_yes & duration <= 442.610
(-1, 4)	0.2727	-0.3096	0.4529	housing_yes & duration <= 442.610 & previous <= 4.918
(-1, 1)	0.2963	-0.2750	0.6963	poutcome_unknown & duration <= 442.610
(-1, 6)	0.2798	-0.2215	0.6883	housing_yes | loan_yes | contact_unknown
(-1, 7)	0.2468	-0.2654	0.3157	contact_unknown | month_jan
(-1, 3)	0.1816	0.0182	0.5144	marital_married & duration <= 442.610
############################################################
