RID	y_no(b=1.0626)	y_yes(b=-0.2602)	Support	Rule
(-1, 4)	0.7379	-0.7000	0.7877	~job_student & ~month_mar & ~month_oct & ~month_sep & ~poutcome_success & age <= 57.528 & duration <= 622.818
(-1, 8)	-0.6615	0.6563	0.1674	~housing_yes & ~loan_yes & ~contact_unknown & ~month_aug & duration > 75.726 & duration <= 622.818
(-1, 2)	-0.5945	0.5861	0.3800	~contact_telephone & ~contact_unknown & ~month_feb & duration > 138.136
(-1, 6)	0.5525	-0.5692	0.7440	~month_feb & ~month_mar & ~month_oct & ~poutcome_success & duration <= 426.683
(-1, 7)	0.5372	-0.5280	0.7951	~job_student & ~poutcome_success & duration <= 426.683
(-1, 5)	0.5137	-0.5363	0.7121	~month_jun & ~month_mar & ~month_oct & ~poutcome_success & age <= 57.528 & duration <= 622.818
(-1, 0)	-0.3872	0.3823	0.4251	~job_blue-collar & ~month_jan & ~month_jul & ~month_nov & duration > 104.470
(-1, 1)	-0.3012	0.3146	0.7458	duration > 104.470
(-1, 3)	0.1806	-0.1863	0.5499	~poutcome_success & balance <= 630.330
############################################################
