RID	y_no(b=3.7506)	y_yes(b=-3.9925)	Support	Rule
(-1, 9)	3.1340	-3.1342	0.6247	poutcome_unknown & ~job_student & ~month_dec & ~month_feb & ~month_mar & ~month_oct & ~month_sep & ~poutcome_success & duration <= 426.683
(-1, 2)	-2.4712	2.4712	0.1674	~housing_yes & ~loan_yes & ~contact_unknown & ~month_aug & duration > 75.726 & duration <= 622.818
(-1, 4)	1.9822	-1.9822	0.7705	~month_mar & ~month_oct & ~month_sep & ~poutcome_success & duration <= 622.818 & previous <= 1.786
(-1, 10)	-1.7828	1.7829	0.3435	~contact_unknown & ~month_feb & ~month_jan & ~month_nov & duration > 138.136
(-1, 6)	1.7041	-1.7039	0.8026	~month_mar & ~poutcome_success & duration <= 426.683
(-1, 3)	1.6975	-1.6979	0.7201	~month_jun & ~month_oct & ~poutcome_success & age <= 57.528 & duration <= 622.818
(-1, 0)	-1.6065	1.6064	0.3043	~job_blue-collar & ~contact_unknown & ~month_jul & ~month_nov & duration > 104.470
(-1, 8)	-1.4714	1.4713	0.6276	duration > 138.136
(-1, 5)	1.4168	-1.4170	0.8853	~poutcome_success & duration <= 622.818
(-1, 1)	-0.7818	0.7816	0.7458	duration > 104.470
(-1, 7)	-0.7673	0.7666	0.5825	duration > 75.726 & campaign <= 2.684
############################################################
