RID	MEDV_5.0(b=3.0842)	Support	Rule
(-1, 7)	4.6121	0.0229	INDUS > 4.346 & RM > 5.799 & AGE > 80.249 & CRIM <= 5.135 & ZN <= 6.661 & NOX <= 0.664 & DIS <= 4.326 & RAD <= 8.823 & TAX <= 458.541 & LSTAT <= 9.251
(-1, 47)	3.8560	0.2582	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 489.688 & LSTAT <= 9.251
(-1, 13)	3.8176	0.0261	RM > 5.799 & AGE > 72.357 & B > 350.428 & ZN <= 6.661 & NOX <= 0.664 & DIS <= 3.180 & PTRATIO <= 17.625 & LSTAT <= 15.211
(-1, 22)	3.5523	0.0098	INDUS > 15.354 & RM > 5.799 & AGE > 72.357 & ZN <= 6.661 & NOX <= 0.664 & DIS <= 3.180 & TAX <= 410.434 & LSTAT <= 9.251
(-1, 14)	2.6904	0.1438	RM > 5.372 & B > 350.428 & NOX <= 0.677 & DIS <= 5.534 & RAD <= 8.382 & TAX <= 458.541 & PTRATIO <= 17.625 & LSTAT <= 13.079
(-1, 21)	2.1022	0.0098	INDUS > 15.354 & RM > 6.405 & NOX <= 0.664 & DIS <= 5.534 & TAX <= 410.434
(-1, 23)	1.7315	0.0065	NOX > 0.562 & INDUS <= 4.346 & NOX <= 0.700 & AGE <= 79.783 & DIS <= 2.631 & TAX <= 458.541
(-1, 55)	-1.7026	0.6863	NOX > 0.664 | TAX > 410.434 | RM <= 6.405 | B <= 282.877
(-1, 77)	1.5634	0.9216	ZN > 31.487 | NOX > 0.562 | RAD > 6.318 | DIS <= 5.534
(-1, 0)	1.5323	0.0458	RM > 6.405 & AGE > 31.342 & B > 350.428 & NOX <= 0.664 & AGE <= 79.783 & DIS <= 4.659 & TAX <= 489.688 & PTRATIO <= 17.625
(-1, 11)	1.3571	0.0261	ZN > 50.558 & RM > 6.405 & AGE > 31.342 & DIS > 4.659 & AGE <= 51.269 & TAX <= 410.434 & PTRATIO <= 17.416
(-1, 65)	1.2060	0.7190	DIS > 2.631 | INDUS <= 4.346 | AGE <= 72.357 | LSTAT <= 9.251
(-1, 82)	1.1100	0.9281	CHAS > 0.173 | CRIM <= 7.209 | INDUS <= 4.346 | NOX <= 0.677 | AGE <= 31.342 | LSTAT <= 15.211
(-1, 86)	1.0770	0.7320	ZN > 31.487 | INDUS <= 4.346 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 67)	1.0230	0.5621	RM > 6.405 | RAD > 6.318
(-1, 29)	1.0155	0.0065	ZN > 6.661 & NOX > 0.562 & RM > 5.372 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 72.357 & DIS <= 2.631 & RAD <= 6.318 & PTRATIO <= 16.149
(-1, 41)	0.9418	0.1471	RM > 5.372 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 72.357
(-1, 50)	0.9349	0.9020	ZN > 6.661 | CHAS > 0.173 | NOX > 0.748 | DIS > 3.180 | CRIM <= 5.135 | INDUS <= 15.354 | NOX <= 0.677 | AGE <= 72.357 | TAX <= 489.688
(-1, 68)	0.9241	0.9706	CRIM <= 10.909 | NOX <= 0.677 | AGE <= 31.342 | LSTAT <= 15.211
(-1, 87)	0.9231	0.9706	CRIM <= 10.909 | INDUS <= 15.354 | NOX <= 0.664 | TAX <= 375.675 | B <= 350.428 | LSTAT <= 13.079
(-1, 60)	0.9106	0.8497	ZN > 31.487 | CHAS > 0.173 | INDUS <= 4.346 | TAX <= 458.541 | LSTAT <= 15.211
(-1, 72)	0.9005	0.9902	INDUS > 10.197 | CHAS > 0.173 | NOX > 0.562 | RM > 6.405 | AGE > 31.342 | TAX > 317.756 | LSTAT > 15.211 | ZN <= 31.487 | DIS <= 5.534 | B <= 350.428
(-1, 10)	0.8226	0.0033	CHAS > 0.326 & RM > 5.372 & B > 350.428 & CRIM <= 5.135 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & DIS <= 5.534 & RAD <= 8.382 & TAX <= 489.688 & PTRATIO <= 17.416 & LSTAT <= 12.319
(-1, 81)	0.8114	0.7190	ZN > 31.487 | INDUS <= 4.346 | AGE <= 31.342 | LSTAT <= 15.211
(-1, 4)	0.7888	0.0098	RM > 5.799 & B > 350.428 & CRIM <= 5.135 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & DIS <= 5.534 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 25)	0.7828	0.0261	RM > 5.799 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & DIS <= 5.534 & RAD <= 8.382 & TAX <= 410.434 & LSTAT <= 9.251
(-1, 74)	0.7410	0.9118	ZN > 50.558 | NOX > 0.700 | CRIM <= 7.209 | INDUS <= 4.346 | TAX <= 489.688 | PTRATIO <= 17.416
(-1, 24)	0.7174	0.1667	RM > 6.405 & B > 350.428 & NOX <= 0.664 & DIS <= 5.534 & RAD <= 8.382 & TAX <= 410.434 & LSTAT <= 9.251
(-1, 56)	0.7004	0.8725	ZN > 50.558 | CHAS > 0.173 | CRIM <= 7.209 | INDUS <= 4.346 | TAX <= 489.688 | PTRATIO <= 17.625
(-1, 2)	0.6813	0.0784	ZN > 6.661 & DIS > 4.659 & INDUS <= 4.346 & AGE <= 51.269 & RAD <= 6.318 & LSTAT <= 9.251
(-1, 94)	0.6638	0.9641	ZN > 31.487 | CHAS > 0.173 | NOX > 0.700 | B > 282.877 | TAX <= 489.688 | PTRATIO <= 17.625 | LSTAT <= 13.079
(-1, 34)	0.6452	0.0425	ZN > 6.661 & RM > 6.405 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 12)	0.6166	0.0523	RM > 5.372 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.677 & DIS <= 5.534 & RAD <= 15.934 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 13.079
(-1, 1)	0.6036	0.0294	RM > 5.799 & B > 350.428 & CRIM <= 5.135 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & DIS <= 5.534 & RAD <= 8.382 & TAX <= 458.541 & LSTAT <= 12.319
(-1, 17)	0.6033	0.0327	ZN > 31.487 & RM > 6.405 & DIS > 4.659 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 16.149 & LSTAT <= 13.079
(-1, 43)	0.5968	0.0327	ZN > 31.487 & RM > 5.799 & B > 350.428 & INDUS <= 4.346 & AGE <= 51.269 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 18)	0.5906	0.0425	ZN > 31.487 & RM > 5.799 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.416 & LSTAT <= 13.079
(-1, 84)	0.5624	0.7778	ZN > 31.487 | CHAS > 0.173 | INDUS <= 4.346 | TAX <= 489.688 | PTRATIO <= 17.625
(-1, 48)	0.5491	0.0327	ZN > 31.487 & RM > 6.405 & DIS > 4.659 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 38)	0.5487	0.0425	ZN > 21.951 & RM > 6.405 & B > 350.428 & CRIM <= 7.209 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.625 & LSTAT <= 12.319
(-1, 54)	0.5432	0.8203	ZN > 21.951 | RM > 6.405 | DIS > 5.534 | LSTAT > 13.079 | PTRATIO <= 16.866
(-1, 5)	0.5363	0.0458	ZN > 31.487 & RM > 5.799 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 70)	0.5349	0.9935	INDUS > 10.197 | NOX > 0.562 | AGE > 31.342 | RAD > 8.382 | TAX > 375.675 | PTRATIO > 16.866 | LSTAT > 9.251 | ZN <= 50.558 | DIS <= 5.534 | PTRATIO <= 16.149 | B <= 350.428
(-1, 76)	0.5342	0.4020	AGE <= 31.342 | LSTAT <= 9.251
(-1, 30)	0.5282	0.0033	CHAS > 0.326 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & DIS <= 5.534 & RAD <= 8.382 & TAX <= 458.541 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 51)	0.5175	0.9902	B > 282.877 | CRIM <= 10.909 | RM <= 5.799 | PTRATIO <= 17.625
(-1, 88)	0.5108	0.8235	ZN > 6.661 | CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 92)	0.5097	0.9739	CHAS > 0.173 | RM > 6.405 | RAD > 6.318 | PTRATIO > 17.416 | LSTAT > 9.251 | DIS <= 4.659
(-1, 93)	0.5086	0.8235	CHAS > 0.173 | DIS > 2.631 | AGE <= 31.342 | TAX <= 489.688
(-1, 62)	0.4960	0.5294	ZN > 50.558 | CHAS > 0.173 | NOX > 0.748 | INDUS <= 4.346 | PTRATIO <= 17.625 | LSTAT <= 9.251
(-1, 58)	0.4941	0.8203	ZN > 6.661 | CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | AGE <= 31.342 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 35)	0.4898	0.0719	RM > 6.405 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.823 & TAX <= 317.756 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 6)	0.4802	0.0327	ZN > 31.487 & RM > 6.405 & B > 350.428 & CRIM <= 7.209 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 39)	0.4558	0.0458	ZN > 21.951 & RM > 5.799 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.677 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.416 & LSTAT <= 15.211
(-1, 78)	0.4380	0.7451	CHAS > 0.173 | DIS > 5.534 | INDUS <= 15.354 | TAX <= 375.675 | LSTAT <= 9.251
(-1, 40)	0.4256	0.0882	RM > 6.405 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 28)	0.4162	0.0458	RM > 5.799 & B > 350.428 & CRIM <= 7.209 & INDUS <= 4.346 & NOX <= 0.664 & DIS <= 5.534 & RAD <= 8.382 & TAX <= 458.541 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 73)	0.4150	0.3725	RM > 6.405
(-1, 66)	0.4042	0.4902	AGE <= 72.357
(-1, 32)	0.3757	0.0392	ZN > 21.951 & RM > 5.799 & INDUS <= 4.346 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 16.866 & LSTAT <= 9.251
(-1, 57)	0.3704	0.7614	CHAS > 0.173 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 19)	0.3678	0.1928	RM > 6.405 & B > 350.428 & INDUS <= 10.197 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 317.756 & LSTAT <= 9.251
